"ID","Contador,"Tipo","VersãoDoAplicativo","VersãoDoScard","Dispositivo","DataDeCriacão","DataDeEnvio","Informações Adicionais",202,-23.540857964184955,-46.276668731828984,12.7965,"Cilindrica","Eucalipto",6.1500,\N,\N,\N,\N,0.0000,0.0000

"hvz-NrZwEXONZn6VHUvik",88,"scarf","1.12.4+2","1.0.5","iPad Pro 11-inch (4th generation)","2023-10-27 17:41:39","2023-11-02 12:16:17","lado 2\
medido Ezequiel \
id 4426\
feixe 2",331,-23.539963673925380,-46.276782763844565,17.1405,"Cilindrica","Eucalipto",6.1200,\N,\N,\N,\N,0.0000,0.0000
"6MAe_0XAfAkZPddzmbdgb",89,"scarf","1.12.4+2","1.0.5","iPad Pro 11-inch (4th generation)","2023-10-27 17:44:28","2023-11-02 12:16:18","lado 2\
medido Ezequiel \
id 4426\
feixe 2",141,-23.540370798266753,-46.276722804160485,11.8240,"Cilindrica","Eucalipto",6.1200,\N,\N,\N,\N,0.0000,0.0000
"G2iteF1UwWQvjWvNR7i8s",90,"scarf","1.12.4+2","1.0.5","iPad Pro 11-inch (4th generation)","2023-10-27 17:46:21","2023-11-02 12:16:19","lado 1\
medido Ezequiel \
id 4426\
feixe 2",92,-23.540434889540210,-46.276797775166530,6.8624,"Cilindrica","Eucalipto",6.1200,\N,\N,\N,\N,0.0000,0.0000
"XqhQNQlvxM_ofcSY3AWOL",91,"scarf","1.12.4+2","1.0.5","iPad Pro 11-inch (4th generation)","2023-10-27 17:50:19","2023-11-02 12:16:21","lado 1\
medido Ezequiel \
id 4426\
feixe 2",224,-23.540568804656050,-46.276776550541460,18.1479,"Cilindrica","Eucalipto",6.1200,\N,\N,\N,\N,0.0000,0.0000
"QrmklpAcS-E0EvQPAnOJ9",92,"scarf","1.12.4+2","1.0.5","iPad Pro 11-inch (4th generation)","2023-10-27 17:51:39","2023-11-02 12:16:22","lado 1\
medido Ezequiel \
id 4426\
feixe 2",47,-23.540681095230326,-46.276610379345540,5.1033,"Cilindrica","Eucalipto",6.1200,\N,\N,\N,\N,0.0000,0.0000
"Jwd24w4-SB2DfFNPUtAig",93,"scarf","1.12.4+2","1.0.5","iPad Pro 11-inch (4th generation)","2023-10-30 16:47:07","2023-11-02 12:16:23","lado 2\
medido Ezequiel \
id 442663\
feixe 3",656,-23.540748710880433,-46.276965841723400,30.3837,"Cilindrica","Eucalipto",6.1200,\N,\N,\N,\N,0.0000,0.0000
"EmXbPHzpFBNrM2IHndeL4",94,"scarf","1.12.4+2","1.0.5","iPad Pro 11-inch (4th generation)","2023-10-30 16:47:57","2023-11-02 12:16:25","lado 2\
medido Ezequiel \
id 442663\
feixe 3",20,-23.540681678854550,-46.276885993336570,6.9737,"Cilindrica","Eucalipto",6.1200,\N,\N,\N,\N,0.0000,0.0000
"cL1YlSUPWb66c5q1olH_1",95,"scarf","1.12.4+2","1.0.5","iPad Pro 11-inch (4th generation)","2023-10-30 16:48:25","2023-11-02 12:16:26","lado 1\
medido Ezequiel \
id 442663\
feixe 3",16,-23.540590627002455,-46.277020105714360,6.4207,"Cilindrica","Eucalipto",6.1200,\N,\N,\N,\N,0.0000,0.0000
"zn1kQFRE6GWkILNv0Y5fO",96,"scarf","1.12.4+2","1.0.5","iPad Pro 11-inch (4th generation)","2023-10-30 17:47:36","2023-11-02 12:16:27","lado 1\
medido Ezequiel \
id 442663\
feixe 3",85,-23.540172827947035,-46.276970942809434,6.2881,"Cilindrica","Eucalipto",6.1200,\N,\N,\N,\N,0.0000,0.0000
"jgKM3JdyBXnN0NDIAgRTI",97,"scarf","1.12.4+2","1.0.5","iPad Pro 11-inch (4th generation)","2023-10-30 17:49:50","2023-11-02 12:16:29","lado 1\
medido Ezequiel \
id 442663\
feixe 3",44,-23.540155398352970,-46.276935224353565,2.2803,"Cilindrica","Eucalipto",6.1200,\N,\N,\N,\N,0.0000,0.0000
"HhSxBQHnqtkxH_Wfih0c5",98,"scarf","1.12.4+2","1.0.5","iPad Pro 11-inch (4th generation)","2023-10-30 17:51:43","2023-11-02 12:16:30","lado 1\
medido Ezequiel \
id 442663\
feixe 3",19,-23.540563226854440,-46.276860268363100,20.4649,"Cilindrica","Eucalipto",6.1200,\N,\N,\N,\N,0.0000,0.0000
"IhSz5cyXVmxF9LFSg4itt",99,"scarf","1.12.4+2","1.0.5","iPad Pro 11-inch (4th generation)","2023-10-31 11:38:27","2023-11-02 12:16:31","lado 2\
medido Ezequiel \
id 442663\
feixe 1",435,-23.540593020752070,-46.276958302062380,24.3336,"Cilindrica","Eucalipto",6.0000,\N,\N,\N,\N,0.0000,0.0000
"G8Xlj8Lv9gEhcXLVuDKnd",100,"scarf","1.12.4+2","1.0.5","iPad Pro 11-inch (4th generation)","2023-10-31 12:31:02","2023-11-02 12:16:32","lado 1\
medido Ezequiel \
id 442663\
feixe 1",25,-23.540631554105655,-46.276882572104340,0.4407,"Cilindrica","Eucalipto",6.0000,\N,\N,\N,\N,0.0000,0.0000
"Zuh-mVy-weV7MD4wqsZh0",101,"scarf","1.12.4+2","1.0.5","iPad Pro 11-inch (4th generation)","2023-10-31 12:35:30","2023-11-02 12:16:34","lado 1\
medido Ezequiel \
id 442663\
feixe 1",124,-23.540439647400590,-46.276929235855720,11.9979,"Cilindrica","Eucalipto",6.0000,\N,\N,\N,\N,0.0000,0.0000
"NIhkU7RRpHMYuDBkps4C5",102,"scarf","1.12.4+2","1.0.5","iPad Pro 11-inch (4th generation)","2023-10-31 12:37:14","2023-11-02 12:16:35","lado 1\
medido Ezequiel \
id 442663\
feixe 1",36,-23.540759739073290,-46.276828804806370,1.9741,"Cilindrica","Eucalipto",6.0000,\N,\N,\N,\N,0.0000,0.0000
"-Rt4GnOCL-Kg1XbqdsL5U",103,"scarf","1.12.4+2","1.0.5","iPad Pro 11-inch (4th generation)","2023-10-31 12:38:41","2023-11-02 12:16:36","lado 1\
medido Ezequiel \
id 442663\
feixe 1",77,-23.540577139766743,-46.276951396259456,7.6995,"Cilindrica","Eucalipto",6.0000,\N,\N,\N,\N,0.0000,0.0000
"P0YI46OCqvdYtpM7lbtmK",104,"scarf","1.12.4+2","1.0.5","iPad Pro 11-inch (4th generation)","2023-10-31 12:39:55","2023-11-02 12:16:38","lado 1\
medido Ezequiel \
id 442663\
feixe 1",61,-23.540632309860140,-46.276935764373114,6.2248,"Cilindrica","Eucalipto",6.0000,\N,\N,\N,\N,0.0000,0.0000
"StK9C-nmQBLxCc9-kqHd-",105,"scarf","1.12.4+2","1.0.5","iPad Pro 11-inch (4th generation)","2023-11-01 11:51:59","2023-11-02 12:16:39","lado 2\
medido Ezequiel \
id 442995\
feixe 2",283,-23.540524376543825,-46.276727237097816,20.5173,"Cilindrica","Eucalipto",5.9800,\N,\N,\N,\N,0.0000,0.0000
"OcKwvjR-5Yg196EdCAP17",106,"scarf","1.12.4+2","1.0.5","iPad Pro 11-inch (4th generation)","2023-11-01 11:53:43","2023-11-02 12:16:40","lado 2\
medido Ezequiel \
id 442995\
feixe 2",56,-23.540463123171932,-46.276867323496940,4.3076,"Cilindrica","Eucalipto",5.9800,\N,\N,\N,\N,0.0000,0.0000
"N_zetGiD2lP1bAWaHl0QL",107,"scarf","1.12.4+2","1.0.5","iPad Pro 11-inch (4th generation)","2023-11-01 12:11:54","2023-11-02 12:16:41","lado 1\
medido Ezequiel \
id 442995\
feixe 2",62,-23.540656043422803,-46.276758727822916,4.9475,"Cilindrica","Eucalipto",5.9800,\N,\N,\N,\N,0.0000,0.0000
"GG5Vc8vSa9PmGxYRqM34J",108,"scarf","1.12.4+2","1.0.5","iPad Pro 11-inch (4th generation)","2023-11-01 12:14:45","2023-11-02 12:16:43","lado 1\
medido Ezequiel \
id 442995\
feixe 2",100,-23.540356831243137,-46.276929094037810,6.2160,"Cilindrica","Eucalipto",5.9800,\N,\N,\N,\N,0.0000,0.0000
"3NUWmlC0nzVyWYeHOWLYF",109,"scarf","1.12.4+2","1.0.5","iPad Pro 11-inch (4th generation)","2023-11-01 12:17:59","2023-11-02 12:16:44","lado 1\
medido Ezequiel \
id 442995\
feixe 2",68,-23.540323715372054,-46.276941531958855,1.4831,"Cilindrica","Eucalipto",5.9800,\N,\N,\N,\N,0.0000,0.0000
"mZUchfV3binthye93ioVF",110,"scarf","1.12.4+2","1.0.5","iPad Pro 11-inch (4th generation)","2023-11-01 12:21:16","2023-11-02 12:16:45","lado 1\
medido Ezequiel \
id 442995\
feixe 2",99,-23.540254617299947,-46.276887767777330,3.5958,"Cilindrica","Eucalipto",5.9800,\N,\N,\N,\N,0.0000,0.0000
"9Z0_qhzMBkKtNINHN43B8",111,"scarf","1.12.4+2","1.0.5","iPad Pro 11-inch (4th generation)","2023-11-02 12:11:20","2023-11-02 12:16:46","lado 2\
medido Ezequiel \
id 442995\
feixe 1",285,-23.540662545220160,-46.276685659585740,15.5041,"Cilindrica","Eucalipto",6.1500,\N,\N,\N,\N,0.0000,0.0000
"EUhSu-vsNISsIglCwCtFS",112,"scarf","1.12.4+2","1.0.5","iPad Pro 11-inch (4th generation)","2023-11-02 12:15:06","2023-11-02 12:16:47","lado 2\
medido Ezequiel \
id 442995\
feixe 1",202,-23.540857964184955,-46.276668731828984,12.7965,"Cilindrica","Eucalipto",6.1500,\N,\N,\N,\N,0.0000,0.0000
